# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "--countReadPairs" "-t" "exon" "-O" "-g" "Parent" "-a" "/scratch/ys33815/endo6_38/b73bam/Zm-B73-REFERENCE-NAM-5.0_Zm00001eb.1.gff3" "-o" "../endo6_38_counts_dec.txt" "SRR1169626Aligned.sortedByCoord.out.bam" "SRR1169633Aligned.sortedByCoord.out.bam" "SRR1169641Aligned.sortedByCoord.out.bam" "SRR1169627Aligned.sortedByCoord.out.bam" "SRR1169634Aligned.sortedByCoord.out.bam" "SRR1169642Aligned.sortedByCoord.out.bam" "SRR1169628Aligned.sortedByCoord.out.bam" "SRR1169635Aligned.sortedByCoord.out.bam" "SRR1169643Aligned.sortedByCoord.out.bam" "SRR1169629Aligned.sortedByCoord.out.bam" "SRR1169636Aligned.sortedByCoord.out.bam" "SRR1169644Aligned.sortedByCoord.out.bam" "SRR1169630Aligned.sortedByCoord.out.bam" "SRR1169637Aligned.sortedByCoord.out.bam" "SRR1169645Aligned.sortedByCoord.out.bam" "SRR1169631Aligned.sortedByCoord.out.bam" "SRR1169639Aligned.sortedByCoord.out.bam" "SRR1169646Aligned.sortedByCoord.out.bam" "SRR1169632Aligned.sortedByCoord.out.bam" "SRR1169640Aligned.sortedByCoord.out.bam" "SRR1169647Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR1169626Aligned.sortedByCoord.out.bam	SRR1169633Aligned.sortedByCoord.out.bam	SRR1169641Aligned.sortedByCoord.out.bam	SRR1169627Aligned.sortedByCoord.out.bam	SRR1169634Aligned.sortedByCoord.out.bam	SRR1169642Aligned.sortedByCoord.out.bam	SRR1169628Aligned.sortedByCoord.out.bam	SRR1169635Aligned.sortedByCoord.out.bam	SRR1169643Aligned.sortedByCoord.out.bam	SRR1169629Aligned.sortedByCoord.out.bam	SRR1169636Aligned.sortedByCoord.out.bam	SRR1169644Aligned.sortedByCoord.out.bam	SRR1169630Aligned.sortedByCoord.out.bam	SRR1169637Aligned.sortedByCoord.out.bam	SRR1169645Aligned.sortedByCoord.out.bam	SRR1169631Aligned.sortedByCoord.out.bam	SRR1169639Aligned.sortedByCoord.out.bam	SRR1169646Aligned.sortedByCoord.out.bam	SRR1169632Aligned.sortedByCoord.out.bam	SRR1169640Aligned.sortedByCoord.out.bam	SRR1169647Aligned.sortedByCoord.out.bam
Zm00001eb145510_T001	chr3;chr3;chr3	175127919;175128710;175129135	175128205;175129038;175130932	+;+;+	2414	225	205	61	92	248	139	111	95	204	149	185	258	56	112	212	202	157	211	89	145	207
Zm00001eb145510_T002	chr3;chr3	175127973;175128710	175128205;175130380	+;+	1904	225	205	61	92	248	139	111	95	204	147	185	258	56	112	209	201	157	211	89	145	207
Zm00001eb145520_T001	chr3;chr3;chr3	175135067;175135921;175139507	175135386;175136054;175139894	+;+;+	842	114	43	5	117	39	11	77	4	14	40	20	29	22	19	14	17	21	3	10	11	16
Zm00001eb145530_T001	chr3;chr3;chr3;chr3;chr3;chr3;chr3	175172675;175173767;175173999;175174173;175174751;175175444;175175715	175173300;175173819;175174091;175174396;175174797;175175551;175175999	+;+;+;+;+;+;+	1436	28	18	6	21	18	12	53	4	12	54	6	21	14	6	24	30	13	40	4	11	36
Zm00001eb145530_T002	chr3;chr3;chr3;chr3;chr3;chr3;chr3	175172735;175173767;175173999;175174173;175174731;175175444;175175715	175173300;175173819;175174091;175174396;175174797;175175551;175175920	+;+;+;+;+;+;+	1317	26	18	6	18	18	12	52	4	12	54	6	21	14	6	23	30	13	40	4	11	36
Zm00001eb145540_T001	chr3	175176150	175178072	-	1923	6	3	0	5	0	0	1	0	4	0	0	5	0	0	5	4	0	1	0	0	4
Zm00001eb145550_T002	chr3;chr3	175182732;175184597	175183469;175185039	+;+	1181	49	137	37	41	119	117	138	38	152	110	93	197	54	91	145	169	148	292	64	58	568
Zm00001eb145550_T001	chr3;chr3	175182685;175184600	175183469;175185253	+;+	1439	49	140	37	42	120	118	138	38	153	109	93	198	55	96	147	169	150	300	65	59	585
Zm00001eb145560_T001	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	175346771;175347848;175348181;175349612;175358607;175369006;175369244;175370172;175370805	175347745;175347969;175348240;175349662;175358763;175369076;175369401;175370243;175371670	+;+;+;+;+;+;+;+;+	2532	228	46	3	118	85	20	175	19	50	40	53	67	31	33	47	80	42	38	24	23	67
Zm00001eb145570_T001	chr3;chr3;chr3;chr3;chr3	175409950;175410295;175412340;175412562;175413549	175410161;175412253;175412456;175412829;175413718	-;-;-;-;-	2726	527	354	19	282	346	12	398	74	62	215	219	59	67	122	37	249	84	17	112	32	37
Zm00001eb145580_T002	chr3;chr3	175449027;175450097	175449674;175451168	+;+	1720	145	371	254	76	682	649	356	166	775	377	370	1731	170	534	1525	612	501	1740	150	267	3314
Zm00001eb145580_T001	chr3;chr3;chr3	175449027;175449400;175450097	175449284;175449674;175451168	+;+;+	1605	145	371	254	76	682	649	356	166	775	377	370	1731	170	534	1525	612	501	1740	150	267	3314
Zm00001eb145600_T001	chr3;chr3;chr3;chr3	175549492;175551251;175551441;175551683	175550033;175551349;175551572;175552334	-;-;-;-	1425	13	0	0	3	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
Zm00001eb145600_T002	chr3;chr3;chr3	175549492;175551251;175551683	175550033;175551572;175552334	-;-;-	1516	13	0	0	3	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
Zm00001eb145610_T001	chr3;chr3;chr3;chr3;chr3;chr3	175561724;175562366;175562555;175563175;175563342;175563668	175562266;175562461;175562669;175563255;175563491;175563690	+;+;+;+;+;+	1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001eb145630_T002	chr3;chr3;chr3	175675551;175677783;175678276	175676490;175677937;175678441	-;-;-	1261	649	1221	163	472	1283	471	1697	269	672	948	796	641	379	555	479	904	816	403	350	453	234
Zm00001eb145630_T001	chr3;chr3	175675518;175678276	175676490;175678450	-;-	1148	624	1193	161	464	1269	466	1637	262	658	937	796	626	375	546	470	870	800	391	345	448	196
Zm00001eb145640_T001	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	175781471;175782372;175783588;175783844;175784106;175786076;175786462;175786670;175786839;175788095;175788524;175788691;175789385	175782224;175782473;175783635;175783975;175784228;175786162;175786574;175786763;175787430;175788171;175788616;175788777;175790021	-;-;-;-;-;-;-;-;-;-;-;-;-	2939	810	704	156	610	787	184	1448	223	437	668	602	430	336	333	349	833	443	286	403	246	373
Zm00001eb145650_T001	chr3	176022370	176023321	-	952	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001eb145660_T001	chr3;chr3;chr3;chr3;chr3;chr3;chr3	176074772;176075827;176076019;176076253;176076452;176076598;176076894	176075205;176075893;176076080;176076352;176076481;176076642;176077395	+;+;+;+;+;+;+	1240	90	196	28	77	204	27	148	20	60	151	172	53	66	108	40	171	137	46	70	59	107
Zm00001eb145670_T001	chr3;chr3;chr3;chr3;chr3;chr3	176082042;176082754;176083535;176083894;176084093;176084422	176082177;176082895;176083768;176083987;176084307;176085456	+;+;+;+;+;+	1856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zm00001eb145670_T005	chr3;chr3;chr3;chr3;chr3	176082714;176083535;176083894;176084093;176084422	176082895;176083768;176083987;176084307;176085454	+;+;+;+;+	1758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zm00001eb145670_T003	chr3;chr3;chr3;chr3;chr3;chr3	176082042;176082754;176083535;176083894;176084093;176084422	176082265;176082895;176083768;176083987;176084307;176085456	+;+;+;+;+;+	1944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zm00001eb145670_T002	chr3;chr3;chr3;chr3;chr3;chr3;chr3	176082042;176082266;176082754;176083535;176083894;176084093;176084422	176082177;176082360;176082895;176083768;176083987;176084307;176085456	+;+;+;+;+;+;+	1951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zm00001eb145670_T007	chr3;chr3;chr3	176083810;176084093;176084422	176083987;176084307;176085454	+;+;+	1426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zm00001eb145670_T006	chr3;chr3;chr3;chr3	176083486;176083894;176084093;176084422	176083768;176083987;176084307;176085454	+;+;+;+	1625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zm00001eb145670_T004	chr3;chr3;chr3;chr3;chr3;chr3;chr3	176082042;176082289;176082754;176083535;176083894;176084093;176084422	176082177;176082644;176082895;176083768;176083987;176084307;176085456	+;+;+;+;+;+;+	2212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zm00001eb145680_T001	chr3;chr3;chr3;chr3;chr3;chr3	176086633;176087685;176088985;176089898;176090127;176090318	176086802;176087740;176089527;176090014;176090212;176090647	+;+;+;+;+;+	1302	69	54	8	38	34	21	131	9	32	51	56	19	18	33	16	81	23	21	12	24	11
Zm00001eb145690_T002	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	176090925;176092810;176093481;176093724;176093929;176094178;176094357;176095108	176091629;176092902;176093618;176093851;176094089;176094268;176094413;176095685	-;-;-;-;-;-;-;-	1951	344	368	71	291	605	106	295	139	314	244	339	283	101	276	296	287	293	140	165	190	124
Zm00001eb145690_T001	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	176090925;176091524;176092810;176093481;176093724;176093929;176094178;176094357;176095108	176091435;176091629;176092902;176093618;176093851;176094089;176094268;176094413;176095685	-;-;-;-;-;-;-;-;-	1863	344	368	71	291	605	106	295	139	314	244	339	283	101	276	296	287	293	140	165	190	124
Zm00001eb145700_T001	chr3	176104394	176104726	+	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001eb145710_T001	chr3	176105647	176106654	+	1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001eb145720_T003	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	176297794;176301750;176302078;176302288;176302896;176303388;176303633;176303804;176304056;176304306	176298437;176301886;176302175;176302634;176303300;176303548;176303706;176303948;176304205;176304814	+;+;+;+;+;+;+;+;+;+	2670	90	4	0	57	7	3	25	2	8	12	7	10	6	10	14	2	8	3	3	5	3
Zm00001eb145720_T001	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	176297794;176301750;176302078;176302288;176302896;176303388;176303633;176303804;176304060;176304306	176298437;176301886;176302175;176302634;176303300;176303548;176303706;176303948;176304205;176305172	+;+;+;+;+;+;+;+;+;+	3024	90	4	0	57	7	3	25	2	8	12	7	10	6	10	14	2	8	3	3	5	3
Zm00001eb145720_T002	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	176297794;176301750;176302078;176302288;176302896;176303388;176303633;176303804;176304056;176304306	176298467;176301886;176302175;176302634;176303300;176303548;176303706;176303948;176304205;176305101	+;+;+;+;+;+;+;+;+;+	2987	90	4	0	57	7	3	25	2	8	12	7	10	6	10	14	2	8	3	3	5	3
Zm00001eb145730_T003	chr3;chr3;chr3	176363198;176363916;176364177	176363834;176364057;176364810	+;+;+	1413	220	459	118	135	530	203	646	141	361	314	515	358	186	369	314	507	341	269	242	180	344
Zm00001eb145730_T001	chr3;chr3;chr3;chr3;chr3	176361073;176362309;176363486;176363916;176364177	176361229;176362627;176363834;176364057;176364810	+;+;+;+;+	1601	258	570	134	165	662	232	780	154	409	371	584	442	240	451	373	608	402	326	303	216	397
Zm00001eb145730_T002	chr3;chr3;chr3;chr3	176361426;176363486;176363916;176364177	176362627;176363834;176364057;176364810	+;+;+;+	2327	259	570	134	165	660	233	785	154	410	371	586	444	241	454	376	609	403	328	304	216	397
Zm00001eb145740_T002	chr3;chr3;chr3;chr3;chr3	176365413;176367293;176367599;176368101;176368306	176366933;176367420;176367810;176368206;176368613	-;-;-;-;-	2275	40	63	23	27	131	43	71	27	65	57	64	148	10	57	153	62	54	122	26	33	276
Zm00001eb145740_T001	chr3;chr3;chr3;chr3;chr3	176365413;176367293;176367599;176368101;176368306	176366933;176367493;176367810;176368206;176368629	-;-;-;-;-	2364	40	63	23	27	131	43	71	27	65	57	64	148	10	57	153	62	54	122	26	33	276
Zm00001eb145750_T002	chr3;chr3	176398343;176399794	176399652;176400191	-;-	1708	7	10	4	9	13	48	10	16	33	10	18	280	6	13	220	5	18	331	4	16	1338
Zm00001eb145750_T001	chr3;chr3;chr3	176398324;176399533;176399794	176398927;176399652;176400196	-;-;-	1127	6	9	4	9	11	43	10	14	30	10	18	266	6	13	214	5	18	294	4	16	1194
Zm00001eb145760_T001	chr3;chr3;chr3	176426995;176427140;176427438	176427052;176427307;176427827	+;+;+	616	6	13	0	12	7	0	20	8	4	24	10	2	9	3	9	14	8	0	7	5	6
Zm00001eb145770_T001	chr3	176428901	176431035	+	2135	58	11	1	33	26	12	51	4	15	21	19	30	11	12	49	18	10	37	6	5	120
Zm00001eb145780_T001	chr3	176471476	176471917	+	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001eb145790_T001	chr3;chr3	176612094;176614631	176613316;176615549	+;+	2142	73	17	48	25	56	94	36	20	83	17	87	259	17	44	144	42	69	147	20	44	323
Zm00001eb145800_T001	chr3;chr3;chr3	176616101;176618638;176619037	176616721;176618827;176620704	-;-;-	2479	26	22	4	15	28	12	33	10	29	21	11	39	5	19	24	13	30	84	9	11	124
Zm00001eb145810_T003	chr3;chr3;chr3;chr3;chr3	176714511;176716669;176717463;176719540;176720143	176716031;176717303;176717663;176719671;176720417	-;-;-;-;-	2764	104	583	218	69	875	472	322	308	723	296	613	1174	131	423	1002	477	683	889	182	384	1341
Zm00001eb145810_T002	chr3;chr3;chr3;chr3;chr3;chr3;chr3	176713916;176714568;176714909;176716669;176717463;176719540;176720143	176714477;176714633;176716031;176717303;176717663;176719671;176720418	-;-;-;-;-;-;-	2995	104	581	218	69	869	472	319	308	714	295	613	1176	131	422	999	475	682	889	182	383	1324
Zm00001eb145810_T001	chr3;chr3;chr3;chr3;chr3;chr3	176713895;176714909;176716669;176717463;176719540;176720143	176714477;176716031;176717303;176717663;176719671;176720418	-;-;-;-;-;-	2950	103	574	216	67	860	466	314	307	707	288	603	1167	129	420	995	475	669	864	182	381	1274
Zm00001eb145820_T003	chr3;chr3;chr3;chr3;chr3	176802852;176803566;176804000;176804672;176805118	176803226;176803663;176804134;176804997;176805269	+;+;+;+;+	1086	4	30	5	4	14	41	18	5	24	10	19	82	2	20	38	37	52	117	7	18	139
Zm00001eb145820_T001	chr3;chr3;chr3;chr3	176802728;176804000;176804672;176805118	176802962;176804134;176804997;176805378	+;+;+;+	957	1	21	3	2	7	28	6	4	15	4	15	50	0	13	32	12	38	68	5	17	97
Zm00001eb145820_T002	chr3;chr3;chr3;chr3	176802728;176804000;176804672;176805118	176803226;176804134;176804997;176805164	+;+;+;+	1007	3	21	4	2	8	29	6	5	19	7	17	60	0	12	33	15	40	79	5	17	112
Zm00001eb145830_T001	chr3	176813584	176813829	-	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001eb145840_T001	chr3;chr3;chr3	176861357;176862591;176862959	176861945;176862783;176863232	-;-;-	1056	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	2	1	0	0	0	0
Zm00001eb145850_T005	chr3;chr3;chr3;chr3	176920406;176921804;176923161;176923461	176921340;176922374;176923256;176923652	-;-;-;-	1794	233	215	67	126	367	135	212	67	260	132	327	354	53	160	283	163	278	227	77	170	329
Zm00001eb145850_T003	chr3;chr3;chr3;chr3	176920101;176921804;176923208;176923461	176921340;176922374;176923244;176923721	-;-;-;-	2109	234	215	67	126	368	136	215	67	265	132	329	355	53	164	283	163	285	227	77	170	340
Zm00001eb145850_T002	chr3;chr3;chr3;chr3;chr3	176920087;176921804;176922257;176923161;176923461	176921340;176922164;176922374;176923256;176923746	-;-;-;-;-	2115	234	215	67	126	368	136	215	67	265	132	329	355	53	164	283	163	285	227	77	170	340
Zm00001eb145850_T001	chr3;chr3;chr3;chr3;chr3	176920087;176921804;176922257;176923208;176923461	176921340;176922182;176922374;176923244;176923746	-;-;-;-;-	2074	234	215	67	126	368	136	215	67	265	132	329	355	53	164	283	163	285	227	77	170	340
Zm00001eb145850_T004	chr3;chr3;chr3;chr3	176920101;176921804;176923161;176923461	176921340;176922374;176923244;176923721	-;-;-;-	2156	234	215	67	126	368	136	215	67	265	132	329	355	53	164	283	163	285	227	77	170	340
Zm00001eb145860_T001	chr3	176996878	176997498	-	621	0	0	1	0	0	0	0	0	0	1	0	1	0	2	0	1	0	1	0	1	20
Zm00001eb145870_T001	chr3;chr3;chr3	176998143;177000284;177000761	176998786;177000654;177001485	+;+;+	1740	187	203	66	97	218	65	950	74	139	387	232	57	204	216	54	310	172	69	79	92	72
Zm00001eb145880_T002	chr3;chr3;chr3;chr3;chr3	177036244;177036582;177036911;177037591;177037918	177036429;177036815;177037494;177037815;177038731	+;+;+;+;+	2043	3	0	1	0	3	0	0	0	2	0	0	1	0	3	0	0	1	0	1	0	0
Zm00001eb145880_T001	chr3;chr3;chr3;chr3;chr3;chr3	177036244;177036582;177036911;177037143;177037591;177037918	177036429;177036815;177037004;177037494;177037815;177038731	+;+;+;+;+;+	1905	3	0	1	0	3	0	0	0	2	0	0	1	0	3	0	0	1	0	1	0	0
Zm00001eb145890_T001	chr3;chr3	177039758;177040814	177040387;177044866	-;-	4683	0	157	2	3	137	0	91	36	12	87	64	0	29	48	1	88	48	0	34	17	0
Zm00001eb145900_T001	chr3;chr3;chr3	177110259;177110420;177110970	177110320;177110767;177111748	+;+;+	1189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zm00001eb145900_T002	chr3;chr3	177110318;177110970	177110767;177111748	+;+	1229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zm00001eb145910_T001	chr3;chr3;chr3;chr3;chr3;chr3	177113357;177113684;177113918;177114285;177114546;177114748	177113536;177113821;177114178;177114465;177114613;177115385	-;-;-;-;-;-	1466	78	11	0	43	7	3	0	1	0	3	10	0	4	2	1	8	3	0	8	1	0
Zm00001eb145920_T005	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	177115948;177129674;177129787;177130375;177130522;177134256;177140578;177141232;177141536;177143311;177143616;177143781;177144400;177145254;177145665	177116358;177129712;177129855;177130444;177130609;177134418;177140826;177141403;177141783;177143433;177143708;177143978;177144560;177145353;177146099	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2619	1171	414	61	684	563	168	745	116	345	263	382	484	160	237	357	356	318	284	158	171	480
Zm00001eb145920_T002	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	177115856;177129674;177129787;177130375;177130522;177134256;177140578;177141130;177141536;177143311;177143616;177143781;177144400;177145254;177145665	177116358;177129712;177129915;177130444;177130609;177134418;177140826;177141403;177141783;177143433;177143708;177143978;177144560;177145353;177146189	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2963	1171	414	61	684	565	168	745	116	345	263	382	484	160	237	358	356	318	284	158	171	480
Zm00001eb145920_T003	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	177134136;177140578;177141232;177141536;177143311;177143616;177143781;177144400;177145254;177145665	177134414;177140826;177141403;177141783;177143433;177143708;177143978;177144560;177145353;177146189	-;-;-;-;-;-;-;-;-;-	2148	929	305	45	544	429	106	578	85	263	210	297	376	128	184	275	258	234	211	129	121	282
Zm00001eb145920_T004	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	177115856;177129674;177129787;177130375;177130522;177134256;177140578;177141232;177141536;177143311;177143616;177143781;177144400;177145254;177145665	177116358;177129712;177129915;177130444;177130609;177134418;177140826;177141403;177141783;177143433;177143708;177143978;177144560;177145353;177146147	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2819	1171	414	61	684	563	168	745	116	345	263	382	484	160	237	358	356	318	284	158	171	480
Zm00001eb145920_T001	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	177115856;177129787;177130375;177130522;177134256;177140578;177141232;177141536;177143311;177143616;177143781;177144400;177145254;177145665	177116358;177129915;177130444;177130609;177134418;177140826;177141403;177141783;177143433;177143708;177143978;177144560;177145353;177146189	-;-;-;-;-;-;-;-;-;-;-;-;-;-	2822	1171	414	61	684	563	168	744	116	345	263	380	484	160	237	358	356	318	284	158	171	480
Zm00001eb145940_T002	chr3;chr3;chr3;chr3	177235105;177236576;177236741;177243280	177235515;177236613;177236835;177243668	+;+;+;+	933	37	7	1	7	12	3	18	0	1	14	12	4	2	4	0	1	2	1	1	2	0
Zm00001eb145940_T001	chr3;chr3;chr3;chr3;chr3	177235035;177236576;177236741;177237965;177243280	177235515;177236613;177236835;177238068;177243742	+;+;+;+;+	1181	37	7	1	7	12	3	18	0	1	14	12	4	2	4	0	1	2	1	1	2	0
Zm00001eb145950_T001	chr3;chr3;chr3;chr3;chr3;chr3	177294135;177295998;177297854;177298292;177299366;177299665	177295646;177296274;177297890;177298430;177299498;177300106	-;-;-;-;-;-	2540	3	63	9	12	36	32	25	21	27	23	20	15	13	61	8	18	106	27	4	11	21
Zm00001eb145960_T003	chr3;chr3;chr3;chr3	177344957;177345589;177346072;177348341	177345495;177345835;177346283;177348506	-;-;-;-	1164	56	20	3	37	35	5	51	1	14	15	30	44	17	15	58	11	21	48	6	10	106
Zm00001eb145960_T002	chr3;chr3	177345905;177348341	177346283;177348555	-;-	594	15	11	0	15	4	0	21	0	3	3	11	21	2	9	17	8	5	12	2	2	56
Zm00001eb145960_T001	chr3;chr3;chr3;chr3;chr3	177345086;177345589;177345752;177346072;177348341	177345495;177345666;177345835;177346283;177348555	-;-;-;-;-	999	56	20	3	37	35	5	51	1	14	15	30	44	17	15	58	11	21	48	6	10	106
Zm00001eb145970_T002	chr3;chr3;chr3	177475243;177476040;177477461	177475720;177477376;177477890	+;+;+	2245	352	131	59	195	256	125	218	68	245	105	148	237	42	131	170	152	115	106	47	97	90
Zm00001eb145970_T001	chr3;chr3;chr3;chr3	177475191;177476040;177477461;177477642	177475720;177477376;177477546;177479003	+;+;+;+	3315	356	131	59	195	257	127	219	68	248	105	148	239	42	132	172	152	116	106	48	97	90
Zm00001eb145970_T003	chr3;chr3;chr3;chr3	177475259;177476040;177477461;177478617	177475720;177477376;177477546;177479003	+;+;+;+	2272	334	110	57	174	216	110	187	63	200	88	129	216	33	110	152	138	101	93	37	85	75
Zm00001eb145980_T001	chr3;chr3;chr3;chr3;chr3;chr3;chr3	177482845;177484203;177484538;177484854;177485306;177485688;177485931	177483243;177484271;177484588;177485213;177485614;177485811;177486004	+;+;+;+;+;+;+	1386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001eb145990_T001	chr3;chr3	177498854;177499208	177499127;177499359	+;+	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001eb146000_T001	chr3	177522114	177523673	+	1560	2	60	22	7	64	79	33	20	95	54	44	104	14	65	65	72	93	56	32	20	19
Zm00001eb146010_T001	chr3;chr3;chr3	177526054;177527972;177528164	177527222;177528060;177528978	+;+;+	2073	0	28	11	1	25	34	16	36	73	13	37	60	6	10	41	79	19	20	37	9	0
Zm00001eb146020_T001	chr3;chr3	177537848;177538191	177538094;177538412	+;+	469	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001eb146030_T001	chr3;chr3;chr3	177540283;177545348;177545702	177540408;177545515;177545971	+;+;+	564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001eb146040_T003	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	177560743;177561524;177562761;177563126;177563499;177563754;177564118;177564882	177560927;177562655;177563030;177563388;177563676;177563954;177564463;177565054	-;-;-;-;-;-;-;-	2748	2	14	3	1	0	4	0	1	6	0	0	11	0	2	0	4	3	1	0	5	0
Zm00001eb146040_T001	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	177561117;177561524;177562761;177563126;177563499;177563754;177564118;177564882	177561393;177562655;177563030;177563388;177563676;177563954;177564460;177565229	-;-;-;-;-;-;-;-	3012	4	14	4	1	0	5	0	1	7	0	0	11	0	2	1	4	7	1	0	5	0
Zm00001eb146040_T002	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	177561117;177561524;177562761;177563126;177563499;177563754;177564118;177564882	177561393;177562655;177563030;177563388;177563676;177563954;177564463;177565229	-;-;-;-;-;-;-;-	3015	4	14	4	1	0	5	0	1	7	0	0	11	0	2	1	4	7	1	0	5	0
Zm00001eb146050_T001	chr3	177561761	177562118	+	358	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Zm00001eb146060_T001	chr3;chr3	177690421;177691499	177691368;177692538	+;+	1988	11	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001eb146070_T003	chr3;chr3;chr3	177693154;177694744;177695247	177693810;177695123;177695584	-;-;-	1375	35	363	147	17	375	270	156	141	349	217	192	237	88	318	156	409	426	114	137	297	20
Zm00001eb146070_T001	chr3;chr3	177693040;177694744	177693810;177695787	-;-	1815	35	363	147	17	375	270	156	142	349	217	192	237	88	318	156	409	426	114	137	297	20
Zm00001eb146070_T002	chr3;chr3	177693040;177694779	177693810;177695787	-;-	1780	35	363	147	16	375	270	156	141	348	216	191	237	86	317	154	408	426	114	137	296	20
Zm00001eb146080_T002	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	177702285;177703137;177703576;177703876;177704171;177704479;177704899;177705227;177705666;177707174;177707379;177707686;177707945;177708354;177708591;177708768;177708933;177709144;177709337	177702705;177703473;177703787;177703986;177704278;177704588;177705002;177705411;177705830;177707292;177707466;177707791;177708033;177708497;177708683;177708834;177709045;177709239;177709835	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3167	1255	6866	749	679	4311	2611	1632	1807	2296	3305	3047	1755	1013	2890	1745	4465	4294	1166	1164	2868	497
Zm00001eb146080_T001	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	177702285;177703137;177703576;177703876;177704171;177704479;177704899;177705227;177705666;177707174;177707379;177707686;177707945;177708351;177708591;177708768;177708933;177709144;177709337	177702705;177703473;177703787;177703986;177704278;177704588;177705002;177705411;177705830;177707292;177707466;177707791;177708033;177708497;177708683;177708834;177709045;177709239;177709835	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3170	1255	6866	749	679	4311	2611	1632	1807	2296	3305	3047	1755	1013	2890	1745	4465	4294	1166	1164	2868	497
Zm00001eb146090_T001	chr3;chr3;chr3;chr3	177818320;177818528;177818761;177818942	177818409;177818653;177818844;177819067	+;+;+;+	426	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
